Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
COR,Correction and Rehabilitation,COR 42 DS Health Services,M,124464,0,3841.51,24
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,108899,10244.1,0,N21
OHR,Office of Human Resources,"OHR 33 Policy, Practice and Strategic Communications",F,149112,0,4602.26,N28
POL,Department of Police,POL 47 MSB Management and Budget Division Fleet Management Section,M,119032,10478.34,7467.13,23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,M,87523,0,2701.48,16
POL,Department of Police,POL 47 PSB 6th District Patrol,F,102084.23,8892.03,9817.13,16
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,124.88,2329.63,10
ABS,Alcohol Beverage Services,ABS 85 Stock Liquor and Wine Warehouse Operations,M,76986,1871.93,2349.4,13
FRS,Fire and Rescue Services,FRS 45 Training,M,136743,22485.29,9562.22,B2
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,106349,26002.36,3255.51,C5
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 1 Security,M,127803,31496.28,3293.64,C1
POL,Department of Police,POL 47 FSB Traffic Division Collision Reconstruction,F,120984,41314.4,4152.9,P5
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92036.29,27036.06,0,T1
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,94555.48,0,0,18
DGS,Department of General Services,DGS 36 Facilities Maintenance,F,62575,0,5984.38,8
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,47684.28,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 20,M,100215,16382.57,5556.66,F3
DPS,Department of Permitting Services,DPS 75 Information Technology Services,M,149112,0,0,N28
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,101160.05,0,0,N21
DEP,Department of Environmental Protection,DEP 80 Monitoring and Planning,M,119032,0,2710.26,23
FRS,Fire and Rescue Services,FRS 45 Station 28,F,100215,58221.96,4248.95,F3
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,0,1170.35,10
FRS,Fire and Rescue Services,FRS 45 Station 7,M,106504,3183.56,0,F4
POL,Department of Police,POL 47 PSB 4th District Patrol,M,133078,17196.62,0,A1
DOT,Department of Transportation,DOT 50 Transit Central Communication,F,95458,9939.31,9129.02,18
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,133078,52916.43,0,A1
LIB,Department of Public Libraries,LIB 71 Quince Orchard Library,F,61588.8,0,1901.04,13
DOT,Department of Transportation,DOT 50 Sign and Marking Shop,M,91392,0,8064.63,17
FRS,Fire and Rescue Services,FRS 45 Station 35,M,100215,62.34,3411.19,F3
COR,Correction and Rehabilitation,COR 42 DS MCDC Central Processing Unit,F,106349,27481.77,3507.53,C5
FRS,Fire and Rescue Services,FRS 45 Station 11,M,100215,45322.79,7007.98,F3
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,87523,6123.13,5490.56,16
FRS,Fire and Rescue Services,FRS 45 Station 13,M,136743,21356.12,7492.96,B2
DOT,Department of Transportation,DOT 50 Highway Services,M,108899,31387.83,6831.44,N21
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,104197,0,3098.51,20
REC,Department of Recreation,REC 72 Aquatic Team Management,F,150389.89,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 40,M,136743,57321.44,14595.78,B2
SHF,Sheriff's Office,SHF 48 Court and Transport,F,135356,725.78,9155.57,D2
POL,Department of Police,POL 47 PSB 6th District Patrol,M,115223,0,5881.61,P4
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 1 Security,M,116789,90404.35,7899.7,C6
DGS,Department of General Services,DGS 36 Facilities,M,87523,3979.52,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,95458,0,2946.31,18
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,89279.61,1259.87,0,18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Data Innovation Team,M,142691,0,6207.31,N28
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,104197,0,6536.46,20
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,108899,6155.5,3361.18,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458,0,2727.82,18
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464,0,7807.8,24
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,18954.04,0,T1
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,F,115223,1068.17,7129.92,P4
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,20921.09,3216,20
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,116789,58728,3881.97,C6
POL,Department of Police,POL 47 PSB 1st District Station,M,169702,0,0,A2
POL,Department of Police,POL 47 PSB 5th District Station,M,175642,3730.62,0,A2
POL,Department of Police,POL 47 PSB 4th District Patrol,F,115223,2264.74,10297.76,P4
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,133078,47097.38,14188.96,A1
FRS,Fire and Rescue Services,FRS 45 Station 24,M,110232,93264.26,7781.3,F4
OLO,Office of Legislative Oversight,OLO 03 Director,M,214175.84,0,0,LB2
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,18146.39,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 8,M,110232,0,9092.72,F4
FRS,Fire and Rescue Services,FRS 45 Station 21,M,110232,579.6,0,F4
REC,Department of Recreation,REC 72 Aquatic Team Management,M,112527.8,2019.07,0,N23
FRS,Fire and Rescue Services,FRS 45 Station 6,M,110232,56267.65,11766.18,F4
COR,Correction and Rehabilitation,COR 42 DS Programs and Services,F,163601.56,0,0,M3
POL,Department of Police,POL 47 MSB Information Management and Technology Division,M,132661.74,0,0,N26
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,36915.46,12285.18,P4
POL,Department of Police,POL 47 FSB Special Operations Division,M,133078,60534.5,4568.02,A1
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,108899,0,8245.1,21
POL,Department of Police,POL 47 PSB 5th District Patrol,M,133078,7495.76,9295.69,A1
FRS,Fire and Rescue Services,FRS 45 Station 11,M,132119,0,7319.97,B2
POL,Department of Police,POL 47 PSB 1st District Patrol,M,133078,15884.84,14188.96,A1
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,115223,57679.84,8048.63,P4
SHF,Sheriff's Office,SHF 48 Civil Process,M,113014,18403.48,7644.4,G4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,899.49,12285.18,P4
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,148892.04,3016.28,4814.13,D3
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464,0,3412.07,24
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,M,115223,918.23,12285.18,P4
ABS,Alcohol Beverage Services,ABS 85 Olney,M,94236.58,0,0,N21
POL,Department of Police,POL 47 PSB 4th District Patrol,F,120984,1934.68,12899.5,P5
POL,Department of Police,POL 47 FSB Special Operations Division Canine Section,M,115223,35664.49,12285.18,P4
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,99719,3298.74,2849.6,19
FRS,Fire and Rescue Services,FRS 45 Station 26,M,100215,0,0,F3
DGS,Department of General Services,DGS 36 Fleet Management Services,M,95458,2615.45,5988.2,18
COR,Correction and Rehabilitation,COR 42 PRRS Assessment and Quality Services,F,124464,0,8947.4,24
POL,Department of Police,POL 47 MSB Communications Division,M,115612.12,11300.23,0,N23
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,104197,0,9964.8,20
LIB,Department of Public Libraries,LIB 71 Germantown Library,M,104197,0,6536.46,N20
FRS,Fire and Rescue Services,FRS 45 Station 13,M,100215,7328.36,3443.82,F3
FRS,Fire and Rescue Services,FRS 45 Support Services Division,M,196339,0,20956.96,B6
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,71525,282.58,3039.35,13
FRS,Fire and Rescue Services,FRS 45 Station 19,M,100215,57070.38,10696.92,F3
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,91721.07,0,0,N18
LIB,Department of Public Libraries,LIB 71 Twinbrook Library,F,38493.11,0,3681.41,13
LIB,Department of Public Libraries,LIB 71 Workforce and Business Development Section,F,119032,0,2019.06,23
PIO,Office of Public Information,PIO 23 Cable Programming,M,108899,751.53,0,N21
DGS,Department of General Services,DGS 36 Fleet Management Services,M,87523,966.46,328.23,16
DGS,Department of General Services,DGS 36 Fleet Management Services,M,87523,6499.46,3369.5,16
POL,Department of Police,POL 47 Investigative Services Bureau,M,230800,0,0,EX2
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,124464,92170.99,3841.51,24
OHR,Office of Human Resources,OHR 33 Occupational Medical Services Team,F,108899,0,0,N21
FRS,Fire and Rescue Services,FRS 45 Station 32,M,136743,1006.77,11139.74,B2
FRS,Fire and Rescue Services,FRS 45 Station 14,M,110232,68858.64,7781.34,F4
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,0,739.68,10
FRS,Fire and Rescue Services,FRS 45 Station 19,M,110232,28483.77,11766.18,F4
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,0,16
FRS,Fire and Rescue Services,FRS 45 Station 4,M,136743,84565.07,11230.23,B2
FRS,Fire and Rescue Services,FRS 45 Fourth Battalion - Administration,M,157431,734.28,16968.71,B3
FRS,Fire and Rescue Services,FRS 45 Station 1,M,100215,51130.16,7007.98,F3
FRS,Fire and Rescue Services,FRS 45 Station 11,M,95441,21338.09,0,F2
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,1734.28,23
POL,Department of Police,POL 47 MSB Communications Division,M,104197,21321.3,6536.46,20
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,6307.79,3098.51,20
SHF,Sheriff's Office,SHF 48 Court and Transport,M,154103.26,1499.47,15103,D3
FRS,Fire and Rescue Services,FRS 45 Station 34,M,110232,31771.27,11766.18,F4
DPS,Department of Permitting Services,"DPS 75 Commercial Sustainability, Energy, and Mechanical",M,136188,0,13024.23,26
DOT,Department of Transportation,DOT 50 Highway Services,M,83837,10848.68,2543.05,15
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,M,83837,0,2587.7,N15
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,5515.17,12285.18,P4
DPS,Department of Permitting Services,DPS 75 Well and Septic Review and Inspections,F,124464,7615.12,7807.8,24
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,M,136743,0,13742.98,B2
FRS,Fire and Rescue Services,FRS 45 Station 33,M,136743,73017.76,14595.78,B2
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,119032,0,3668.34,23
POL,Department of Police,POL 47 FSB Special Operations Division Canine Section,M,115223,19340.43,8048.63,P4
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,124464,270.74,7807.8,24
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,76986,0,7362.67,13
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,M,106349,159648.71,10980.07,C5
FRS,Fire and Rescue Services,FRS 45 Station 35,M,100215,3344.69,2792.07,F3
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223,1536.06,12129.32,P4
FRS,Fire and Rescue Services,FRS 45 Station 16,M,110232,38916.55,11654.76,F4
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,119032,0,3673.91,N23
FRS,Fire and Rescue Services,FRS 45 Fire and Rescue Occupational Medical Services,M,157431,0,16809.71,B3
FRS,Fire and Rescue Services,FRS 45 Station 8,M,136743,5545.95,9562.22,B2
DOT,Department of Transportation,DOT 50 Highway Services,M,108180.92,25858.07,0,N21
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,119032,0,5317.5,N23
FRS,Fire and Rescue Services,FRS 45 Station 28,M,100215,23279.29,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 1,M,110232,18054.38,0,F4
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,F,119032,0,7467.13,23
COR,Correction and Rehabilitation,COR 42 PTS Alternative Community Services,M,113837,0,2591.95,22
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,65642.25,0,2638.98,16
FRS,Fire and Rescue Services,FRS 45 Station 18,M,110232,77321.61,3788,F4
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,44505.35,0,T1
DGS,Department of General Services,DGS 36 Central Duplicating,M,83837,149.35,2587.7,15
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,115223,540.13,3955.13,P4
FRS,Fire and Rescue Services,FRS 45 Station 29,M,100215,53307.73,3437.3,F3
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,133078,70064.16,9295.69,A1
POL,Department of Police,POL 47 FSB Special Operations Division Tactical Operations Section,M,115223,33114.18,0,P4
POL,Department of Police,POL 47 FSB Security Services Division,M,108899,21964.25,6831.44,21
SHF,Sheriff's Office,SHF 48 Child Support,M,113014,323.13,3619.31,G4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,14965.85,0,T1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP FiberNet Infrastructure,M,149112,7219.68,0,N28
FRS,Fire and Rescue Services,FRS 45 Scheduling,F,110232,16673.36,11766.18,F4
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33946.57,0,1465.45,10
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,92646,0,1245.49,19
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,99719,20638.54,6255.51,19
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93145.03,4937.23,0,T1
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,118737,0,3565.95,C1
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,66046.55,0,0,16
FRS,Fire and Rescue Services,FRS 45 Station 7,M,136743,155703.26,14595.78,B2
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,115223,1157.18,12285.18,P4
POL,Department of Police,POL 47 MSB Communications Division,F,119032,28027.76,0,N23
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,95458,5746.84,5988.2,18
POL,Department of Police,POL 47 PSB 1st District Community Operations,M,111327,0,5107.05,P4
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,124464,2298.09,3841.51,24
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93145.03,3879.92,0,T1
POL,Department of Police,POL 47 MSB Personnel Division,F,202747,511.75,0,A3
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,3946.95,16
BOE,Board of Elections,BOE 24 Election Operations,F,119032,45010.91,3673.91,N23
FRS,Fire and Rescue Services,FRS 45 Station 8,M,110232,29592.09,0,F4
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,124464,355.61,7807.8,24
LIB,Department of Public Libraries,LIB 71 Rockville Library,F,36835.51,0,1800.89,13
POL,Department of Police,POL 47 FSB Special Operations Division Canine Section,M,133078,78189,14188.96,A1
SHF,Sheriff's Office,SHF 48 Court and Transport,M,113014,2954.83,7644.4,G4
CCL,County Council,CCL 01 Council Central Staff,F,119032,0,7467.13,N23
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,115223,23477.58,0,P4
DOT,Department of Transportation,DOT 50 Highway Services,M,91392,12824.65,8587.47,17
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,92036.29,77280.53,0,T1
DPS,Department of Permitting Services,DPS 75 Residential Inspections,M,119032,0,3673.91,23
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,86537.51,5253.76,0,T1
LIB,Department of Public Libraries,LIB 71 Materials Delivery,M,83329.59,0,5248.56,12
OAG,Office of Agriculture,OAG 78 Soil Conservation,M,122334.36,0,0,N25
DOT,Department of Transportation,DOT 50 Highway Services,M,91392,23869.56,5321.32,17
PIO,Office of Public Information,PIO 23 Web Content and Graphic Management,M,108899,1317.81,6831.44,N21
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,M,160128.73,0,0,M3
POL,Department of Police,POL 47 FSB Special Operations Division,M,115223,17833.76,12285.18,P4
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,113837,0,3385.21,N22
POL,Department of Police,POL 47 PSB 6th District Patrol,M,115223,50373.03,12285.18,P4
REC,Department of Recreation,REC 72 Countywide Programs,F,119032,27727.88,7467.13,N23
FRS,Fire and Rescue Services,FRS 45 Facilities,M,104197,197.87,9600.77,20
POL,Department of Police,POL 47 PSB 4th District Special Assignment Team,M,133078,57457.14,9121.76,A1
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,113892.41,15081.72,0,23
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,26068.54,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 3,M,100215,6384.03,0,F3
ABS,Alcohol Beverage Services,ABS 85 White Oak,M,59043.2,780.15,0,12
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,113837,0,1372.61,22
FRS,Fire and Rescue Services,FRS 45 Fifth Battalion - Administration,M,121266,45101.97,0,B1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,93145.03,77883.62,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,108899,4071.52,6831.44,N21
LIB,Department of Public Libraries,LIB 71 Germantown Library,F,108899,0,6831.44,21
SHF,Sheriff's Office,SHF 48 Court and Transport,M,123648,8429.28,8363.56,D1
POL,Department of Police,POL 47 FSB Special Operations Division Canine Section,F,115223,17732.69,12285.18,P4
POL,Department of Police,POL 47 CRB Policy and Planning Division,F,202746.54,22201.6,0,A3
DPS,Department of Permitting Services,DPS 75 Commercial Electrical and FPS Inspections,M,119032,0,595.16,23
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,80227,0,2633.9,15
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,121266,80996.36,13083.78,B1
FRS,Fire and Rescue Services,FRS 45 Station 34,M,121266,25384.27,6684.34,B1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,94253,15351.31,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 35,M,110232,73.45,8960.67,F4
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,115223,2259.63,12285.18,P4
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,153948.07,0,888.21,18
LIB,Department of Public Libraries,LIB 71 Germantown Library,F,76986,0,7362.67,13
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,99710,4387.2,4874.68,20
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,0,12285.18,P4
DOT,Department of Transportation,DOT 50 Highway Services,M,87523,24971.37,5337.43,16
POL,Department of Police,POL 47 PSB 2nd District Special Assignment Team,M,111327,1042.23,1057.12,P4
FRS,Fire and Rescue Services,FRS 45 Station 4,M,110232,96092.41,11877.51,F4
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,99719,1760.37,8305.59,19
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,965.12,4926.26,16
DPS,Department of Permitting Services,DPS 75 Land Development Sediment and Stormwater Inspection,M,108899,0,6831.44,21
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,120984,17877.21,12899.5,P5
POL,Department of Police,POL 47 MSB Training and Education Division,M,115223,2241.28,12285.18,P4
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,18780.43,9964.8,20
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,121266,47861.51,0,B1
POL,Department of Police,POL 47 MSB Communications Division,M,169555,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 35,M,100215,15215.45,3476.36,F3
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,136743,42072.39,1552.57,B2
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,104197,0,6536.46,20
POL,Department of Police,POL 47 PSB 4th District Patrol,M,115223,86.01,3955.13,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,111327,0,1494.33,P4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,95458,2074.55,5655.26,18
FRS,Fire and Rescue Services,FRS 45 Station 30,M,100215,65322.22,1214.19,F3
POL,Department of Police,POL 47 PSB 5th District Community Action Team,M,120984,12806.71,4152.9,P5
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,F,115223,8230.68,3955.13,P4
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OPS Public Safety Data Systems,F,149112,0,9354.05,N28
OHR,Office of Human Resources,OHR 33 Records Management Team,F,108899,0,6831.44,N21
FRS,Fire and Rescue Services,FRS 45 Station 18,M,132119,19278.79,4695.83,B2
SHF,Sheriff's Office,SHF 48 Administration,M,151805.5,7673.87,6832.39,D3
ABS,Alcohol Beverage Services,ABS 85 Stock Liquor and Wine Warehouse Operations,M,76986,989.6,2376.18,13
DOT,Department of Transportation,DOT 50 Highway Services,M,83837,15419.43,8017.77,15
FRS,Fire and Rescue Services,FRS 45 Station 21,M,136743,7313.81,4654.49,B2
FRS,Fire and Rescue Services,FRS 45 Station 15,M,110232,14025,3823.84,F4
LIB,Department of Public Libraries,LIB 71 Technology Management,M,99719,0,6255.51,19
DOT,Department of Transportation,DOT 50 Highway Services,M,124464,39174.52,0,N24
FRS,Fire and Rescue Services,FRS 45 Field Operations Administration,M,136743,0,0,B2
FRS,Fire and Rescue Services,FRS 45 Station 19,M,121266,62076.94,1469.25,B1
FRS,Fire and Rescue Services,FRS 45 Station 14,M,100215,16496.23,7007.98,F3
FRS,Fire and Rescue Services,FRS 45 Station 18,M,121266,54320.47,4505.12,B1
FRS,Fire and Rescue Services,FRS 45 Fifth Battalion - Administration,M,121266,27823.51,6580.3,B1
FRS,Fire and Rescue Services,FRS 45 Station 12,M,136743,34090.63,11139.74,B2
FRS,Fire and Rescue Services,FRS 45 Station 11,M,136743,16927.11,0,B2
DOT,Department of Transportation,DOT 50 Highway Services,M,95458,23855.12,0,N18
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,121266,35718.2,8560.22,B1
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,62575,446.96,4175.71,8
FRS,Fire and Rescue Services,FRS 45 Station 34,M,121266,39138.67,4505.12,B1
FRS,Fire and Rescue Services,FRS 45 Station 22,M,96825,101.84,0,F3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,115223,1719.3,12285.18,P4
POL,Department of Police,POL 47 CRB Community Engagement Division Crisis Response & Support Section,M,115223,19765.38,12285.18,P4
POL,Department of Police,POL 47 PSB 5th District Patrol,M,133078,0,14188.96,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,120984,3826.13,12899.5,P5
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),F,95441,152.61,6601.93,F2
FRS,Fire and Rescue Services,FRS 45 Station 30,M,110232,36528.18,7708.4,F4
FRS,Fire and Rescue Services,FRS 45 Station 6,M,136743,7506.29,7537.43,B2
POL,Department of Police,POL 47 MSB Communications Division,M,108899,16865.85,0,21
REC,Department of Recreation,REC 72 Youth Development Youth Services,M,119032,7749.96,4876.47,N23
POL,Department of Police,POL 47 MSB Training and Education Division,M,133078,10563.99,9295.69,A1
POL,Department of Police,POL 47 FSB Special Operations Division Canine Section,M,111327,1406.12,975.65,P4
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,297.7,6536.46,20
FRS,Fire and Rescue Services,FRS 45 Station 24,M,132119,2112.74,7181.85,B2
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,10142.19,0,19
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,94253,28521.52,0,T1
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,0,6255.51,19
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,95458,632.07,5988.29,N18
FRS,Fire and Rescue Services,FRS 45 Training,M,157431,0,5848.64,B3
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,188614.4,0,0,MD3
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,93145.03,25401.92,0,T1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,M,87523,0,2733.82,16
FRS,Fire and Rescue Services,FRS 45 Rescue 2,M,95441,26523.68,3279.72,F2
FRS,Fire and Rescue Services,FRS 45 Training,M,136743,90933.59,7537.45,B2
SHF,Sheriff's Office,SHF 48 Courthouse Security,M,123648,27174.67,8363.56,D1
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223,0,5399.99,P4
POL,Department of Police,POL 47 MSB Communications Division,F,106953,15728.6,0,N23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,3795.77,6536.46,20
FRS,Fire and Rescue Services,FRS 45 Station 19,M,110232,25849.01,3608.85,F4
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,124464,0,3841.51,24
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,F,95458,3557.39,2946.31,18
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,80335,149.97,2479.59,14
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,106349,60871.17,3534.93,C5
FRS,Fire and Rescue Services,FRS 45 Station 12,M,100215,47000.61,10696.92,F3
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,115223,10447.71,0,P4
DOT,Department of Transportation,DOT 50 Highway Services,M,83837,10476.69,4960.58,15
POL,Department of Police,POL 47 PSB 4th District Patrol,M,115223,31573.25,3955.13,P4
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,87523,0,5490.56,16
LIB,Department of Public Libraries,LIB 71 Aspen Hill Library,F,104197,0,0,N20
DOT,Department of Transportation,DOT 50 Highway Services,M,91392,22878.98,8587.47,17
LIB,Department of Public Libraries,LIB 71 Germantown Library,F,76986,0,2289.37,13
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,108899,0,0,N21
FRS,Fire and Rescue Services,FRS 45 Station 11,M,110232,13324.3,3150.23,F4
DEP,Department of Environmental Protection,DEP 80 Monitoring and Planning,M,113837,0,7141.27,22
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,113837,11973.21,2591.95,N22
FRS,Fire and Rescue Services,FRS 45 Station 25,M,136743,261310.91,14595.83,B2
FRS,Fire and Rescue Services,FRS 45 Fire Chief's Executive Office,M,173161,0,18483.1,B4
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,92036.29,41348.45,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 8,M,110232,31458.39,1335.54,F4
DOT,Department of Transportation,DOT 50 Traffic Engineering Studies Section,M,95458,553.67,5988.2,18
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,3646.82,6536.46,20
SHF,Sheriff's Office,SHF 48 Court and Transport,F,113014,11715.06,8249.02,G4
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,103700.22,255.84,0,N21
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,106349,239720.42,7193.42,C5
